sourceSku,imageFile,localFile
Y89895,0001558_14-ayar-altin-mini-kelebek-yuzuk_552x_crop_center.jpg?v=1786134578,Y89895.webp
Y18565,0001590_14-ayar-altin-yarimtur-yildiz-yuzuk_552x_crop_center.jpg?v=1786134556,Y18565.webp
Y45141424,0001193_14-ayar-altin-basak-yuzuk_552x_crop_center.jpg?v=1786134584,Y45141424.webp
Y20215,0001583_14-ayar-altin-tasli-minimal-kadin-yuzuk_552x_crop_center.jpg?v=1786134560,Y20215.webp
Y208215,0001591_14-ayar-altin-yarimtur-tasli-yuzuk_552x_crop_center.jpg?v=1786134557,Y208215.webp
RYZ26015,0004879_minimal-iki-kelebekli-yuzuk_552x_crop_center.webp?v=1786135073,RYZ26015.webp
Y632525,0001565_14-ayar-altin-deniz-yildizi-yuzuk_552x_crop_center.jpg?v=1786134583,Y632525.webp
Y68685,0001568_14-ayar-altin-kalpli-minimal-yuzuk_552x_crop_center.jpg?v=1786134580,Y68685.webp
Y25635,0001604_14-ayar-altin-tasli-bombeli-kalp-yuzuk_552x_crop_center.jpg?v=1786134563,Y25635.webp
Y95255,0001608_14-ayar-altin-yildiz-sallantili-yuzuk_552x_crop_center.jpg?v=1786134555,Y95255.webp
Y7575577,0001081_14-ayar-altin-tasli-kalpli-minimal-yuzuk_552x_crop_center.jpg?v=1786134535,Y7575577.webp
Y848484,0001078_14-ayar-altin-minimal-tasli-yildiz-yuzuk_552x_crop_center.jpg?v=1786134535,Y848484.webp
GJYZ26019,0004815_renkli-tasli-minimal-yuzuk_552x_crop_center.webp?v=1786135456,GJYZ26019.jpg
RYZ26041,0004826_minimal-tac-yarim-tur-yuzuk_552x_crop_center.webp?v=1786135104,RYZ26041.jpg
RYZ26039,0004830_minimal-love-yazili-yuzuk_552x_crop_center.webp?v=1786135102,RYZ26039.jpg
RYZ26038,0004831_gun-dogumu-tasli-yuzuk_552x_crop_center.webp?v=1786135101,RYZ26038.jpg
RYZ26035,0004837_minimal-kutup-yildizli-yarim-tur-yuzuk_552x_crop_center.webp?v=1786135097,RYZ26035.jpg
RYZ26030,0004847_minimal-minimal-yarim-tur-tasli-yuzuk_552x_crop_center.webp?v=1786135091,RYZ26030.jpg
RYZ26029,0004850_minimal-dik-dalgali-yuzuk_552x_crop_center.webp?v=1786135090,RYZ26029.jpg
RYZ26022,0004864_minimal-ince-burgulu-yuzuk_552x_crop_center.webp?v=1786135081,RYZ26022.jpg
RYZ26018,0004872_minimal-kare-tasli-zincir-yuzuk_552x_crop_center.webp?v=1786135077,RYZ26018.jpg
RYZ26013,0004882_minimal-tasli-oval-cerceve-yuzuk_552x_crop_center.webp?v=1786135071,RYZ26013.webp
RYZ26012,0004884_minimal-kalin-burgulu-yuzuk_552x_crop_center.webp?v=1786135070,RYZ26012.webp
RYZ26011,0004887_minimal-yildizli-yuzuk_552x_crop_center.webp?v=1786135068,RYZ26011.webp
RYZ26010,0004888_minimal-altigen-geometrik-kesim-yuzuk_552x_crop_center.webp?v=1786135067,RYZ26010.webp
RYZ26009,0004890_minimal-kalpli-yuzuk_552x_crop_center.webp?v=1786135066,RYZ26009.webp
RYZ26008,0004892_minimal-deniz-yildizli-yuzuk_552x_crop_center.webp?v=1786135065,RYZ26008.webp
