sourceSku,name,priceMinor,weightGr,stoneType,sizeReference,sourcePath
Y89895,14 Ayar Altın Mini Kelebek Yüzük,602000,0.83,Zirkon,,/products/14-ayar-altin-mini-kelebek-yuzuk
Y18565,14 Ayar Altın Yarımtur Yıldız Yüzük,650500,0.90,Zirkon,,/products/14-ayar-altin-yarimtur-yildiz-yuzuk
Y45141424,14 Ayar Altın Başak Yüzük,899000,1.25,Zirkon,,/products/14-ayar-altin-basak-yuzuk
Y20215,14 Ayar Altın Taşlı Minimal Kadın Yüzük,650500,0.90,Zirkon,,/products/14-ayar-altin-tasli-minimal-kadin-yuzuk
Y208215,14 Ayar Altın Yarımtur Taşlı Yüzük,657400,0.91,Zirkon,,/products/14-ayar-altin-yarimtur-tasli-yuzuk
RYZ26015,Minimal İki Kelebekli Yüzük,595000,0.82,,15,/products/minimal-iki-kelebekli-yuzuk
Y632525,14 Ayar Altın Deniz Yıldızı Yüzük,615900,0.85,Zirkon,,/products/14-ayar-altin-deniz-yildizi-yuzuk
Y68685,14 Ayar Altın Kalpli Minimal Yüzük,615900,0.85,Zirkon,,/products/14-ayar-altin-kalpli-minimal-yuzuk
Y25635,14 Ayar Altın Taşlı Bombeli Kalp Yüzük,719200,1.00,Zirkon,,/products/14-ayar-altin-tasli-bombeli-kalp-yuzuk
Y95255,14 Ayar Altın Yıldız Sallantılı Yüzük,827100,1.15,Zirkon,,/products/14-ayar-altin-yildiz-sallantili-yuzuk
Y7575577,14 Ayar Altın Taşlı Kalpli Minimal Yüzük,602000,0.83,Zirkon,,/products/14-ayar-altin-tasli-kalpli-minimal-yuzuk
Y848484,14 Ayar Altın Minimal Taşlı Yıldız Yüzük,581100,0.80,Zirkon,,/products/14-ayar-altin-minimal-tasli-yildiz-yuzuk
GJYZ26019,Renklı Taşlı Minimal Yüzük,1956200,2.72,,15,/products/renkli-tasli-minimal-yuzuk
RYZ26041,Minimal Taç Yarım Tur Yüzük,643600,0.89,,14,/products/minimal-tac-yarim-tur-yuzuk
RYZ26039,Minimal Love Yazılı Yüzük,475600,0.65,,13,/products/minimal-love-yazili-yuzuk-2
RYZ26038,Gün Doğumu Taşlı Yüzük,755200,1.05,,17,/products/minimal-love-yazili-yuzuk
RYZ26035,Minimal Kutup Yıldızlı Yarım Tur Yüzük,819900,1.14,,17,/products/minimal-kutup-yildizli-yarim-tur-yuzuk
RYZ26030,Minimal Minimal Yarım Tur Taşlı Yüzük,595000,0.82,,14,/products/minimal-minimal-yarim-tur-tasli-yuzuk
RYZ26029,Minimal Dik Dalgalı Yüzük,671200,0.93,,14,/products/minimal-dik-dalgali-yuzuk
RYZ26022,Minimal İnce Burgulu Yüzük,595000,0.82,,14,/products/minimal-ince-burgulu-yuzuk
RYZ26018,Minimal Kare Taşlı Zincir Yüzük,733600,1.02,,15,/products/minimal-kare-tasli-zincir-yuzuk
RYZ26013,Minimal Taşlı Oval Çerçeve Yüzük,769500,1.07,,18.5,/products/minimal-tasli-oval-cerceve-yuzuk
RYZ26012,Minimal Kalın Burgulu Yüzük,629700,0.87,,15.5,/products/minimal-kalin-burgulu-yuzuk
RYZ26011,Minimal Yıldızlı Yüzük,539100,0.74,,13,/products/minimal-yildizli-yuzuk
RYZ26010,Minimal Altıgen Geometrik Kesim Yüzük,684900,0.95,,14,/products/minimal-altigen-geometrik-kesim-yuzuk
RYZ26009,Minimal Kalplı Yüzük,553100,0.76,,14,/products/minimal-kalpli-yuzuk
RYZ26008,Minimal Deniz Yıldızlı Yüzük,636700,0.88,,14,/products/minimal-deniz-yildizli-yuzuk
RYZ26007,Minimal Dalgalı Yüzük,567100,0.78,,14,/products/minimal-dalgali-yuzuk
RYZ26006,Minimal Sıra Toplu Yüzük,489700,0.67,,14,/products/minimal-sira-toplu-yuzuk
RYZ26005,Minimal Zincir Yüzük,684900,0.95,,14,/products/minimal-zincir-yuzuk
RYZ26004,Minimal Burgulu Üç Taşlı Yüzük,636700,0.88,,14,/products/minimal-burgulu-uc-tasli-yuzuk
RYZ26003,Minimal Sıra Yıldızlı Yüzük,705500,0.98,,14,/products/minimal-sira-yildizli-yuzuk
RYZ26002,Minimal Sıra Taşlı ve Oval Yüzük,748000,1.04,,,/products/minimal-sira-tasli-ve-oval-yuzuk
RYZ26001,Minimal Sıra Petek Yüzük,588000,0.81,,,/products/minimal-sira-petek-yuzuk
Y2020201,14 Ayar Altın Minimal Tasarımlı Yüzük,719200,1.00,Zirkon,,/products/14-ayar-altin-minimal-tasarimli-yuzuk
Y2542144,14 ayar altın minimal zincir yüzük,650500,0.90,Zirkon,,/products/14-ayar-altin-minimal-zincir-yuzuk
Y4144642,14 Ayar Altın Dalgalı Yüzük,546100,0.75,Zirkon,,/products/14-ayar-altin-dalgali-yuzuk
Y7474145,14 Ayar Altın Göz Yüzük,602000,0.83,Zirkon,,/products/14-ayar-altin-goz-yuzuk
Y471475,14 Ayar Altın Love Yazılı Kadın Yüzük,475600,0.65,Zirkon,,/products/14-ayar-altin-love-yazili-kadin-yuzuk
Y373735,14 Ayar Altın Minimal Burgu Yüzük,553100,0.76,Zirkon,,/products/14-ayar-altin-minimal-burgu-yuzuk
Y65245,14 Ayar Altın Minimal Tarz Yüzük,546100,0.75,Zirkon,,/products/14-ayar-altin-minimal-tarz-yuzuk
Y48745,14 Ayar Altın Sıralı Top Yüzük,650500,0.90,Zirkon,,/products/14-ayar-altin-sirali-top-yuzuk
Y95935,14 Ayar Altın Tamtur Tırtık Yüzük,684900,0.95,Zirkon,,/products/14-ayar-altin-tamtur-tirtik-yuzuk
Y23645,14 Ayar Altın Tasarım Model Yüzük,791100,1.10,Zirkon,,/products/14-ayar-altin-tasarim-model-yuzuk
Y41415,14 Ayar Altın Tasarım Yüzük,650500,0.90,Zirkon,,/products/14-ayar-altin-tasarim-yuzuk
Y58585,14 Ayar Altın Yarımtur Minimal Tarz Yüzük,475600,0.65,Zirkon,,/products/14-ayar-altin-yarimtur-minimal-tarz-yuzuk
Y874698,14 Ayar Altın Ayarlanabilir Taşlı Desenli Yüzük,1905900,2.65,Zirkon,,/products/14-ayar-altin-ayarlanabilir-tasli-desenli-yuzuk
Y45545,14 Ayar Altın Minimal Tasarım Yüzük,755200,1.05,Zirkon,,/products/14-ayar-altin-minimal-tasarim-yuzuk
